body_of_water	category_T10	category_T15	city_not_us	city_us	date	filename	id	incorrect_orientation_T21	keyword_subj_T11	loc_box_checked	loc_not_us	other_info_T22	prodno	publisher	state_l	state_v	subj_2_T12	subj_3_T13	subj_T16	title
		Libraries, galleries & museums		Chicago		vo1377a_o3.jpg	35412632												Museums	Art Institute, Michigan Blvd., Chicago
		Streets & highways		Geneseo		C58280_o3.jpg	35404285												Downtowns	State Street looking south from railroad, Geneseo, Ill.
		Aerial views & skylines		Chicago		9CK467_o3.jpg	35403095										Park	City 	Automobiles	Michigan Avenue North 
		Parks & gardens		Milwaukee		VO846_o3.jpg	35424194										Pond		Water	Scene in Kosciusco Park, Milwaukee, Wisconsin 
		Amusements				cop2798_o3.jpg	35405665										Stages	Lagoons	Theatres	Swift Theatre with its stage erected in the lagoon
		Streets & highways		South Hadley	1908	dpc11687_o3.jpg	35407290							Detroit Publishing Co.					Trees	College Street, South Hadley, Mass.
		Libraries, galleries & museums		Boston		dpc12487_o3.jpg	35407796							Detroit Publishing Co.					Landmarks	Family living room, Paul Revere House, Boston, Mass.
		Hotels		White Bear Lake		VO1910_o3.jpg	35422110										Lakes		Yacht Clubs	White Bear Yacht Club, Dellwood, White Bear Lake, Minn.
		Hotels		Charlevoix		VO5453_o3.jpg	35423169										Shores		Lakes	Lake shore, from Beach Hotel, Charlevoix, Michigan
		Cartoons & humor				5AH1568_o3.jpg	35401954										Dogs		Couples	I've a dog gone good reason to leave here
		Hotels		Mackinac Island 	1905	dpc8847_o3.jpg	35411114							Detroit Photographic Co.			Lake Huron		Vacation	Grand Hotel Mackinac Island, Michigan  
		Parks & gardens		Chicago		A100294_o3.jpg	35403114										Entrances		Convents	A view of park from balcony of convent, 95th and Throop Sts., Longwood, Chicago, Ill.
		Portraits				VO6630_o3.jpg	35423929										Girls 	Children 	Lilies	
		Other		Beardstown		A60774_o3.jpg	35403820												Banks	First State Bank, Beardstown, Ill.
		Libraries, galleries & museums		Boston	1909	dpc12476_o3.jpg	35407787							Detroit Publishing Co. 			Church		Cityscape	Public Library and New Old South Church
		Aerial views & skylines		Providence		dpc6991_o3.jpg	35409570							Detroit Photographic Co. 			New England		Waterways	Providence, RI
		Hotels		Roanoke		0BH1032_o3.jpg	35400440													Roanoke Virginia
		Other				VO2199_o3.jpg	35422363							Clyde Johnson			Straits	Ice	Boats	"Car ferry ""Chief Wawatam"" crossing the Straits of Mackinaw in winter"
		Education		Mooseheart		2364-30_o3.jpg	35401127										Fraternal Organizations		Athletics	The great Mooseheart football team that has helped Mooseheart win 90% of all games played in 10 years
		Amusements		Chicago	1933	cop1365_o3.jpg	35404671							R H D Co.					Exhibitions	The Swedish Pavilion
		Residences		Sarnac Lake	1902	dpc6792_o3.jpg	35409408							Detroit Photographic Co.			Lakes	Mountains	Towns	Saranac Lake, Adirondack Mountains
		Parks & gardens		Cincinnati		dpc6632_o3.jpg	35409272							Detroit Photographic Co.			Entrances		Cemeteries	Entrance to Spring Grove Cemetery, Cincinnati, O.
		Libraries, galleries & museums		Chicago		D7372_o3.jpg	35406213										Seminaries		Libraries	Virginia Library - McCormick Theological Seminary - Chicago
		Nature		Lookout Mountain	1907	dpc11375_o3.jpg	35407101							Detroit Publishing Co.			Mountains		Points	Point Lookout, Lookout Mountain, Tenn.
		Residences		Springfield	1905	dpc8626_o3.jpg	35410924							Detroit Photographic Co.						Crescent Hill Residences, Springfield, Mass.
		Cartoons & humor				2BH1142a_o3.jpg	35401220							Curt Teich & Co., Inc.			Gas Stations		Drivers	Okay buddy - where's that ration card?
		Residences		Petoskey		VO1294A_o3.jpg	35412518							V.O. Hammon Pub. Co.						Summer House C.R.&I. Park, Petoskey, Mich.
		Beaches & bodies of water		Fort Snelling		VO785_o3.jpg	35424114										Dams	Rivers	Locks	
		Politics & government		North Somerville	1906	dpc10210_o3.jpg	35406393							Detroit Publishing Co.			Towers	Gunpowder Houses	Landmarks	Old powder house, North Somerville, Mass.
		Military		St. Paul		dpc71356_o3.jpg	35409749							Copr. Detroit Publishing Co. 			Old Round Tower	Trees 	Fort Snelling	Old Round Tower, Fort Snelling, Minn. 
		Nature		St. Louis		VO5512_o3.jpg	35423228										Footprints	Snow	Winter	Winter Scenes Forest Park St. Louis, Mo. 
		Animals			1933	cop757_o3.jpg	35405989							Messmore & Damon			Taxidermy 	Zoos	Tigers	Sabre Tooth Tiger
		Libraries, galleries & museums		Chicago		cop957_o3.jpg	35406067										Adler Planetarium	Chicago 	Shedd Aquarium 	Shedd Acquarium, showing Adler Planetarium in distance, Chicago Ill. 
		Beaches & bodies of water		Lake Geneva		VO5586_o3.jpg	35423306												Sailboats	The Regatta, Lake Geneva, Wis
		Hotels		Daytona	1904	dpc8140_o3.jpg	35410543							Detroit Photographic Co.						Hotel Des Pland and Magnolia Ave
		Residences		Utica	1895	dpc8895_o3.jpg	35411147							Detroit Photographic Co.			Street		Mansions	Residences on Upper Genesee Street, Utica, N.Y.
		Parks & gardens		Kansas City		VO6552_o3.jpg	35423851										Buildings	Plants	Trees	Oct. 9, 1907
		Entertainment				cop56_o3.jpg	35405901										Celebrations		Fireworks	Fireworks display on lagoon
		Animals			1905	dpc8821_o3.jpg	35411099							Detroit Photographic Co.			National parks	Yellowstone	Bears	Bear at Upper Geyser Basin, Yellowstone National Park
		Libraries, galleries & museums		Chicago		cop1802_o3.jpg	35405153										Science	Nighttime	World's Fairs	Hall of Science by illumination, Chicago World's Fair
		Politics & government		St. Paul		VO12_o3.jpg	35412395							V. O. Hammon Pub. Co.			Streetviews	Neoclassical	Capitol buildings	State Capitol, St. Paul, Minn.
		Other		Nashville		VO6132_o3.jpg	35423498										Presidents	Memorials	Statues	I hope this find you all well
		Libraries, galleries & museums		Boston	1909	dpc12476_o3.jpg	35407787							Detroit Publishing Co. 			Cities 	Churches 	Squares 	Copley Square 
		Parks & gardens		Mt. Vernon	1903	dpc6852_o3.jpg	35409465							Detroit Photographic Co.			Monuments	George Washington	Cemetery 	Washington's Tomb, Mt. Vernon
		Religion			1903	dpc7115_o3.jpg	35409727							Detroit Photographic Co.			Cemeteries		Priests	The Cemetery Entrance
		Other			1933	cop1417_o3.jpg	35404887										Mailings		Railroads	
		Libraries, galleries & museums		St. Louis		VO128_o3.jpg	35412493							V. O. Hammon Pub. Co.			Agriculture		Expositions	Cost $550,000.00
		Streets & highways		Dixon		A123517_o3.jpg	35403495										Welcome signs	Downtown	Cars	Galena Street looking north, Dixon, Ill.
		Advertisements				0EK128_o3.jpg	35400723										Farmers		Yielders	Dekalb E-57-Big-Big Yielder
		Streets & highways		Washington	1902	dpc6219_o3.jpg	35408927							Detroit Photographic Co.					Downtowns	Pennsylvania Avenue, Washington, D.C.
		Hotels		Chicago		vob24_o3.jpg	35424368										Beaches	Resorts	Skyscrapers	Edgewater Beach Hotel from Sheridan Road, Chicago
		Residences		Utica	1905	dpc8895_o3.jpg	35411147							Detroit Photographic Co.			Homes		Steets	Residences on Upper Genesee Street, Utica, N.Y.
		Streets & highways		Springfield		vo930_o3.jpg	35424276							V.O. Hammon Pub. Co., Chicago			Buggies	People	Shops	Sixth St. South from Washington, Springfield, Ill
		Cartoons & humor				5AH1584_o3.jpg	35401970										Jokes		Cars	I forgot to gas up
		Military		Fort Sheridan		VO230A_o3.jpg	35422493										Forts	Camps	Soldiers	"Officers' Training Camp
Fort Sheridan, Ill."
		Streets & highways		Belleville		A21984_o3.jpg	35403579										Community 		Trolleys 	South West Corner Public Square 
		Indians of North America			1903	dpc6878_o3.jpg	35409480							Detroit Photographic Co.			Portraits 		Native Americans	Obtossaway, An Ojubwa Cheif
		Other		Kansas City	1906	dpc10247_o3.jpg	35406419							Detroit Publishing Co. 			Stock Exchange		Animals	Live Stock Exchange, Kansas City, Mo.
		Nature				dpc10216_o3.jpg	35406399							Detroit Photographic Co.					Mountains	The Heart of the Rockies
		Other		Rochester		dpc5916_o3.jpg	35408712							Detroit Photographic Co.			Downtowns	Department Stores	Buildings	Granite Building, Rochester, N.Y.
		Politics & government		St. Paul		VO12_o3.jpg	35412395							V.O. Hammon Pub. Co.					Capitols	State Capitol, St. Paul, Minn.
		Religion		Boston	1900	dpc5451_o3.jpg	35408384							Detroit Photographic Co. 			Streets	Carriage 	Church	Christ Church (Old North), Boston, Mass
		Railroads		Chicago		vo602_o3.jpg	35423431							V.O. Hammon Pub. Co.			Downtowns		Trains	The elevated R.R., looking north on Wabash from Van Buren Street
		Advertisements		Minneapolis		0BH1045_o3.jpg	35400452										Lobbies		Banks	A modern, simplified money service - Telephone: Main 3511
		Aerial views & skylines		Granite City		5C218_o3.jpg	35402049										Boats	Canals	Waterways	Aerial View of Locks 27, Granite City, Illinois
		Politics & government		Gettysburg	1903	dpc7233_o3.jpg	35409878							Detroit Photographic Co.					Statues	Statue of John Burns, the hero of Gettysburg
		Nature		Grand Canyon	1901	dpc5474_o3.jpg	35408399							Detroit Photographic Co.					Canyons	Grand Canyon of Arizona
		Entertainment		Palm Beach		dpc8218_o3.jpg	35410602							Detroit Photographic Co.			Music	Leisure	Concerts	Afternoon concert hour, Royal Poinciana, Palm Beach, Fla.
		Other				cop1394_o3.jpg	35404696										Churches		Street Scenes	A beautiful spot
		Aerial views & skylines			1906	dpc10897_o3.jpg	35406837							Detroit Publishing Co.			Trails	Valleys	Mountains	On the road to Pike's Peak, Colo.
		Parks & gardens		Nashville		VO6612_o3.jpg	35423910										Architecture	Art museums	Ponds	Parthenon, Centennial Park, Nashville
		Nature			1901	dpc8694_o3.jpg	35410989							Detroit Photographic Co.			Mountains	Cabins	Rivers	Mt. Clay and Mt. Washington from Twin Rivers, White Mountains, N.H.
		Parks & gardens		Springfield 		VO907A_o3.jpg	35424247										Canoes 	Lagoons	Boathouses	Boat House and Lagoon. Washington Park 
		Hotels		Las Vegas		3BH1597a_o3.jpg	35401493													El Rancho Vegas, Las Vegas, Nevada
		Beaches & bodies of water		Duluth	1908	dpc11891_o3.jpg	35407434							Detroit Publishing Co.			Ships	Piers	Canals	U.S. ship canal entrance, Duluth, Minn
		Hotels		Saint Paul		VO57A_o3.jpg	35423385										Street scenes		Hotel Saint Paul	Hotel St. Paul, St. Paul, Minn
		Landscapes				dpc6127_o3.jpg	35408853							1901			Waterfalls	National parks	Yosemite National Park	Bridal Veil Fall, Yosemite Valley, California
		Other		Minneapolis		0BH1045_o3.jpg	35400452										Buildings		Banks	A modern, simplified money service -- Telephone: Main 3511
		Children				dpc5522_o3.jpg	35408424							"Detroit Publishing Co.
"			African Americans	Watermelons	Ethnic stereotypes	Watermelon Jake
		Hotels		Minneapolis		VO7B_o3.jpg	35424142										Businesses		Tourism	Hotel Dyckman, Minneapolis, Minn.
		Restaurants & bars		Chicago		A120777_o3.jpg	35403413										Stages		Dining	Dining room, The Golden Pumpkin, 3829 W. Madison St., Chicago, Ill.
		Parks & gardens		Chicago		cop2014_o3.jpg	35405289										Memorials	Nighttime	Fountains	Clarence Buckingham Memorial Fountain, by illumination, Chicago, Ill.
		Nature			1902	dpc6814_o3.jpg	35409429							Detroit Photographic Co.			Man	Lakes	Boats	An Adirondack carry
		Streets & highways		Geneseo		C58280_o3.jpg	35404285										Cars	Downtown	Stores	State Street, looking south from railroad, Geneseo, Ill.
		Hotels		Richmond	1903	dpc6689_o3.jpg	35409317							Detroit Photographic Co.			Interiors	Stained glass	Statues	The Rotunda, Hotel Jefferson Richmond, VA.
		Other		Bloomingdale		7CK577_o3.jpg	35402586										Golf	Ballrooms	Country clubs	The Scenic 11th
		Libraries, galleries & museums		Chicago		cop774_o3.jpg	35405994										Administration	World's Fair	Expositions	"Administration Building
A Century of Progress-World's Fair-Chicago"
		Libraries, galleries & museums		Chicago		cop2228_o3.jpg	35405411										World's Fair	Colonial	Expositions	Kaufmann-Fabry Photo
		Parks & gardens		St. Louis		VO5512_o3.jpg	35423228										Creeks	Forests	Winter	Forest Park-St. Louis, Mo.
		Other				3CK1141_o3.jpg	35401586												Buildings	
		Religion				VO1405A_o3.jpg	35412669										Young Men's Christian Association	Camping	Church camps	Tenting under trees. Young Men's Christian Association College Camp
		Streets & highways		Jacksonville	1903	dpc7094_o3.jpg	35409699							Detroit Photographic Co.			Train tracks	Automobiles	Palm trees	Main Street, Jacksonville, Fla.
		Indians of North America		Sault Ste. Marie	1901	dpc497_o3.jpg	35408230							Detroit Photographic Co. 			Man	Tool	Portrait	An honest Indian - Old John Boucher, Sault Ste. Marie, Michigan
		Bridges				1CH108_o3.jpg	35400999										Fox River		Rivers	Picturesque view of the Fox River, Illinois in the beautiful Fox River Valley
		Politics & government		Denver		dpc9082_o3.jpg	35411266							Detroit Publishing Co.			Trees	Driveway	Building	State Capitol, Denver, Colorado 
		Parks & gardens		Chicago		VOB14_o3.jpg	35424362										Pond	Trees	Park	Path by the Lake, Garfield Park Chicago
		Entertainment		Chicago		cop1881_o3.jpg	35405238										World's Columbian Exposition		Electricity	General view by illumination, Chicago World's Fair.
		Parks & gardens			1906	VOX34_o3.jpg	35424433							M.S.P. [Hammon? pub. co., Chicago]			Moon	Lake, Sailboat	Couple	Dearest Margaret, Moongazing is bad for one's eyes. So take heed. Lovingly yours, [Richard?]
		Parks & gardens		Allegheny	1905	dpc9372_o3.jpg	35411491							Detroit Publishing Co. 			Children	Trees	Lake	Lake in West Park, Allegheny, PA
		Nature		Chicago 		VO1469A_o3.jpg	35412752												Century of Progress 	Scene in Jackson Park, Chicago
		Bridges		Philadelphia 	1906	dpc10154_o3.jpg	35406354							Detroit Publishing Co.					Wissahickon River 	Valley Green Bridge on the Wissahickon Philadelphia Pa
		Nature			1902	dpc6188_o3.jpg	35408903							Detroit Photographic Co. 			Mountain	Landscape	Flowers (Iris)	The Iris. A Colorado wildflower. Mount of the Holy Cross
		Landscapes				dpc6726_o3.jpg	35409347							Detroit Photographic Co. Publishers					Spanish Peaks 	Spanish Peaks
		Postcard history				2AH577_o3.jpg	35401180										Illustrations 		Caricatures 	
		Education		Minneapolis		VO2298A_o3.jpg	35422486										Students		High Schools	Central High School, Minneapolis, Minn.
		Parks & gardens		Blue Island		C57655_o3.jpg	35404266										Building	Trees	Woman and Child	Central Park. Blue Island, Ill
		Nature		Lake George	1904	dpc8389_o3.jpg	35410740							Detroit Photographic Co.			Islands	Lakes	Birches	Among the birches, Green Island, Lake George, N. Y.
		Advertisements				a115598_o3.jpg	35403280										Musicians	Cars	Singers	Williams' World-famous Singers
		Aerial views & skylines				cop141_o3.jpg	35404877										Presidents	Lakes	Clubs	The Lincoln Group
		Bridges		South Bend		VO6378_o3.jpg	35423685										Riverside		Rivers	Jefferson St. Bridge, South Bend, Ind.
		Military		Columbus		2B182_o3.jpg	35401194							Southeast Air Corps Training Center					Trainings	Crash crew, Columbus Army Flying School, Columbus, Mississippi
		Beaches & bodies of water		Minneapolis		VO1646_o3.jpg	35421831										Sailboats		Lakes	Moonlight on Lake Calhoun, Minneapolis, Minn.
		Aerial views & skylines		Newport		dpc8675_o3.jpg	35410971							Detroit Publishing Co.					Residences	E.D. Morgan Residence, Newport, R.I.
		Amusements		Chicago		5dk1659_o3.jpg	35402078										Travel	Skyscrapers	Greetings	Greetings from Chicago
		Sports		Aiken	1903	dpc7521_o3.jpg	35410093							By Detroit Photographic Co.			Golf		Golf courses	Palmetto Golf Links, Aiken, S.C.
		Religion		Oak Park		VO956_o3.jpg	35424307										Churches		Methodist Episcopal Churches	M.E. Church, Oak Park, Ill.
		Nature		Colorado Springs 	1906	dpc10313_o3.jpg	35406479							Detroit Publishing Co. 					Bear Creek Canyon 	In Bear Creek Canyon Near Colorado Springs 
		Entertainment	Havana 			0BH1124_o3.jpg	35400526				Cuba								Casinos 	Havana : National Casino at Marianao 
		Religion		Blue Island		A114765_o3.jpg	35403218												Masonic Temples	Masonic Temple Blue Island , ILL
		Other				VO59D_o3.jpg	35423413										Fishing		Fish	My morning's work at Lake Minnetonka
		Nature		Grand Canyon	1900	dpc5473_o3.jpg	35408398							Detroit Photographic Co.			Mountains		Canyons	Grand Canyon of Arizona
		Landscapes			1905	dpc9049_o3.jpg	35411247							Detroit Publishing Co.			Mountains	Plants	Trees	A California winter landscape
		Other				cop53_o3.jpg	35405895										Boats		Ships	City of New York, Admiral Byrd's Polar Ship
		Railroads		Chicago		VO1425A_o3.jpg	35412694												Stations	Grand Trunk Wabash
		Parks & gardens		New Orleans	1900	dpc8385_o3.jpg	35410736							Detroit Photographic Co. 					Cemetery	Metairie Cemetery, New Orleans, LA
		Beaches & bodies of water		South Haven		VO5432_o3.jpg	35423147												Rivers	The Black River, South Haven, MI
		Hotels		Chicago		A98947_o3.jpg	35404022													Hotel Stratford, 4131 Sheridan Road, Chicago
		Education		Chicago		r76107_o3.jpg	35412106										Campuses		Colleges	Osborne Hall and Osborne Row, The Moody Bible Institute, Chicago
		Education		Duluth		VO675_o3.jpg	35423963												Schools	Lakeside School, Duluth, Minn.
		Parks & gardens		Joliet		VO1156_o3.jpg	35412375												Creeks	East Park and Hickory Creek, Joliet, Ill.
		Streets & highways		Chicago		VO613A_o3.jpg	35423502										Trolleys	Street Scenes	Downtowns	Busiest corner in the world
		Aerial views & skylines		Bloomington		a25890_o3.jpg	35403595										Downtowns		Courthouses	Bird's eye view south east from Court House, Bloomington, Ill.
		Residences		Superior		VO671_o3.jpg	35423957													Bishop Scinner's residence, Superior, Wis.
		Other		New Orleans	1908	VO6464_o3.jpg	35423765							C.B. Mason					Bars	Old absinthe house, New Orleans, La.
		Aerial views & skylines			1902	dpc6792_o3.jpg	35409408							Detroit Photographic Co.			Mountains	Towns	Lakes	Saranac Lake, Adirondack Mountains
		Libraries, galleries & museums		New York	1904	dpc9000_o3.jpg	35411209							Detroit Photographic Co.					Universities	Interior of library, Columbia University, New York
		Education		Chicago		dpc11567_o3.jpg	35407221							Detroit Publishing Co.			Campuses	Tennis courts	Universities	University of Chicago, Chicago, Ill.
		Landscapes		Norfolk		dpc8448_o3.jpg	35410787							Detroit Photographic Co., Publishers			Monuments	Towns	Mountains	Haystack Monument, Norfolk, Conn.
		Aerial views & skylines		Cincinnati		dpc11456_o3.jpg	35407147							Detroit Publishing Co.			Rivers	Towns	Lakes	Up the Ohio from Eden Park, Cincinnati, Ohio
		Nature		Lake Minnetonka		VO1632_o3.jpg	35421809										Island		Lakes	View From Shady Island, Lake Minnetonka, Minn
		Religion		Chicago		4244-29_o3.jpg	35401625										Christianity		Churches	Hyde Park Congregational Church, 56th St. at Dorchester Ave., Chicago, Ill.
		Military				cop141_o3.jpg	35404877										Cars	Headquarters	Contractors	The Lincoln Group
		Religion		Flora		C32422_o3.jpg	35404119										Christianity	Towers	Churches	Christian Church, Flora, Ill.
		Residences		Chicago		6C4_o3.jpg	35402397													Harriet Hammon McCormick Memorial Residence - Chicago
		Hotels		Monterey		dpc8912_o3.jpg	35411158							Detroit Publishing Co.						Hotel del Monte, Monterey, Cal.
		Nature		Green Island	1904	dpc8389_o3.jpg	35410740							Detroit Photographic Co.					Forests	Among the birches, Green Island, Lake George, N.Y.
		Parks & gardens		Portland	1904	dpc12517_o3.jpg	35407824							Detroit Photographic Co.					Entrances	Carriage entrance, Riverton Park, Portland, Me.
		Bridges				VO6561_o3.jpg	35423861												Viaducts	The inter-city viaduct, 1 1/4 miles long
		Aerial views & skylines		Chicago		7CK1139_o3.jpg	35402562										Downtowns		Legends	
		Other		Chicago		A121724_o3.jpg	35403423												Funeral Homes	C. Kampp & Son Funeral Home, 318-20 N. Central Ave., Chicago
		Amusements		Chicago		cop1173_o3.jpg	35404448										Flags	Aquariums	Exhibitions	A Century of Progress - Chicago's 1933 World's Fair
		Other		Chicago		vo1962_o3.jpg	35422164												Skyscrapers	Heisen Building, Chicago, Ill.
		Streets & highways		Riverside	1899	dpc5302_o3.jpg	35408324							Detroit Photographic Co.					Palm Trees	Magnolia Avenue, Riverside, Cal.
		Other		Chicago		A60774_o3.jpg	35403820										First State Bank		Banks	First State Bank, Beardstown, IL
		Aerial views & skylines		St. Louis		VO1063_o3.jpg	35412296												Architecture	Lincoln Trust Building, St. Louis, MO
		Beaches & bodies of water		Manchester		dpc11203_o3.jpg	35407019							Detroit Publishing Co. 			Cottages		Boats	Massabesic Lake, Manchester, NH
		Other		Detroit	1903	dpc9133_o3.jpg	35411309							Detroit Photographic Co. 			Statues		Monuments	Soldiers and Sailors Monument, Detroit, MI
		Religion		Kewanee		RD13129_o3.jpg	35412168												Churches	First Christian Church, Kewanee, Illinois
		Beaches & bodies of water		Portland	1904	dpc8311_o3.jpg	35410670							Detroit Photographic Co.			Theaters		Shores	Forest City Landing and Gem Theatre, Peak's Island, Portland, Me.
		Hospitals		Chicago		r91840_o3.jpg	35412136												Research Institutes	Nelson Morris Memorial, Insitute for Medical Research
		Amusements			1906	dpc10686_o3.jpg	35406680							Detroit Publishing Co.			Bridges		Country Clubs	Sewall's Bridge and Country Club House, York River, Me.
		Other		Chicago		3AH58_o3.jpg	35401438										City	Automobiles	Building	London Guarantee & Accident Company Building, Chicago 
		Advertisements		Dunning		RC2597_o3.jpg	35412142										City scenes 	Buildings	Postcard	Greetings from Dunning, Ill 
		Parks & gardens		Chicago		VO1662_o3.jpg	35421853										Conservatories	Snow	Lincoln Park (Chicago, Ill.)	Winter scene in Lincoln Park, Chicago
		Children		Chicago		r89485_o3.jpg	35412130										Playgrounds		Orphanages	Angel Guardian Orphanage, 2001 Devon Ave., Chicago, Ill. Play grounds.
		Education		Chicago		cop141_o3.jpg	35404877										Abraham, Lincoln, 1809-1865	Exhibitions	Century of Progress International Exposition	The Lincoln Group
		Education		Chicago		cop1189_o3.jpg	35404470										Transportation	Century of Progress International Exposition	Exhibitions	Travel and transport building
		Streets & highways		Columbus		a40501_o3.jpg	35403662										Streetcars	Automobiles	Night scenes	West Broad Street, looking east, Columbus, Ohio.
		Residences		Seattle		VO6406_o3.jpg	35423719										Trees	Lawn	Home	A Seattle home
		Cartoons & humor				5AH1568_o3.jpg	35401954										Dog	Moon	Couple	I've a dog gone good reason to leave here
		Aerial views & skylines		Boulder	1900	dpc6766_o3.jpg	35409386							by Detroit Photographic Co.			Cities		Mountains	Boulder Colorado
		Streets & highways		Chicago Heights 		A115516_o3.jpg	35403278										Businesses 		Automobile 	Halsted Street Looking North, Chicago Heights, Ill
		Streets & highways		Philadelphia	1900	dpc5543_o3.jpg	35408443							Detroit Photographic Co. 			River	People	Nature	River Drive, Fairmount Park, Philadelphia, PA
		Libraries, galleries & museums		New York	1904	dpc9000_o3.jpg	35411209							Detroit Photographic Co. 						Interior of Library, Columbia University, New York
		Streets & highways				D10007f_o3.jpg	35406088													Highway 66, between Tucumcari and Santa Rosa
		Streets & highways		Milwaukee		VO870_o3.jpg	35424218													On Prospect Avenue, Milwaukee, Wis.
		Residences				dpc5879_o3.jpg	35408693							Detroit Photographic Co.			Gardens		Cottages	Rose covered cottage, Calif.
		Residences			1904	dpc8440_o3.jpg	35410779							Detroit Photographic Co.			Trees		Gardens	Rose tree at the cottage, Baldwin's Ranch Cal.
		Streets & highways		Pittsburgh	1905	dpc9373_o3.jpg	35411492							Detroit Publishing Co.			Trolleys		Downtown	Wood Street, Pittsburg, PA.
		Parks & gardens		Detroit	1905	dpc9467_o3.jpg	35411548							Detroit Publishing Co.					Fountains	Grand Circus Park, Detroit, Mich.
		Religion		Champaign		8720_o3.jpg	35402634												Churches	First M.E. Church Champaign, Ill.
		Hotels		Chicago		VO1600_o3.jpg	35421767										Lobbies		Fountains	Fountain in Pompeiian Room. Congress Hotel and Annex, Chicago
